,Fecha y Hora,Temperatura (ï¿½C),umedad (%)
1,02/02/2025 01:44,20.6,98
2,02/02/2025 01:49,20.6,98
3,02/02/2025 01:54,20.6,98
4,02/02/2025 01:59,20.6,98
5,02/02/2025 02:04,20.6,98
6,02/02/2025 02:09,20.6,98
7,02/02/2025 02:14,20.6,98
8,02/02/2025 02:19,20.6,98
9,02/02/2025 02:24,20.6,98
10,02/02/2025 02:29,20.6,98
11,02/02/2025 02:34,20.6,98
12,02/02/2025 02:39,20.6,98
13,02/02/2025 02:44,20.6,98
14,02/02/2025 02:49,20.6,98
15,02/02/2025 02:54,20.2,98
16,02/02/2025 02:59,20.2,98
17,02/02/2025 03:04,20.2,98
18,02/02/2025 03:09,20.6,98
19,02/02/2025 03:14,20.2,98
20,02/02/2025 03:19,20.6,98
21,02/02/2025 03:24,20.4,98
22,02/02/2025 03:29,20.2,98
23,02/02/2025 03:34,20.2,98
24,02/02/2025 03:39,20.2,98
25,02/02/2025 03:44,20.2,98
26,02/02/2025 03:49,20.2,98
27,02/02/2025 03:54,20.2,98
28,02/02/2025 03:59,20.2,98
29,02/02/2025 04:04,20.2,98
30,02/02/2025 04:09,20.2,98
31,02/02/2025 04:14,20.2,98
32,02/02/2025 04:19,20.2,98
33,02/02/2025 04:24,20.2,98
34,02/02/2025 04:29,20.2,98
35,02/02/2025 04:34,20.2,98
36,02/02/2025 04:39,20.2,98
37,02/02/2025 04:44,20.2,98
38,02/02/2025 04:49,20.2,98
39,02/02/2025 04:54,20.2,98
40,02/02/2025 04:59,20.2,98
41,02/02/2025 05:04,20.2,98
42,02/02/2025 05:09,20.2,98
43,02/02/2025 05:14,20.2,98
44,02/02/2025 05:19,20.2,98
45,02/02/2025 05:24,19.8,98
46,02/02/2025 05:29,20.2,98
47,02/02/2025 05:34,20.2,98
48,02/02/2025 05:39,20.2,98
49,02/02/2025 05:44,20.2,98
50,02/02/2025 05:49,20.2,98
51,02/02/2025 05:54,20.2,98
52,02/02/2025 05:59,19.8,98
53,02/02/2025 06:04,19.8,98
54,02/02/2025 06:09,19.8,98
55,02/02/2025 06:14,20.2,98
56,02/02/2025 06:19,20.2,98
57,02/02/2025 06:24,20.2,98
58,02/02/2025 06:29,20.2,98
59,02/02/2025 06:34,20.2,98
60,02/02/2025 06:39,20.2,98
61,02/02/2025 06:44,20.2,98
62,02/02/2025 06:49,19.8,98
63,02/02/2025 06:54,19.8,98
64,02/02/2025 06:59,19.8,98
65,02/02/2025 07:04,19.8,98
66,02/02/2025 07:09,20.2,98
67,02/02/2025 07:14,20.2,98
68,02/02/2025 07:19,20.2,98
69,02/02/2025 07:24,20.2,98
70,02/02/2025 07:29,20.2,98
71,02/02/2025 07:34,20.2,98
72,02/02/2025 07:39,20.2,98
73,02/02/2025 07:44,20.2,98
74,02/02/2025 07:49,20.5,98
75,02/02/2025 07:54,20.6,98
76,02/02/2025 07:59,20.6,98
77,02/02/2025 08:04,20.6,98
78,02/02/2025 08:09,20.6,98
79,02/02/2025 08:14,20.6,98
80,02/02/2025 08:19,20.6,98
81,02/02/2025 08:24,20.6,98
82,02/02/2025 08:29,20.6,98
83,02/02/2025 08:34,21,98
84,02/02/2025 08:39,20.6,98
85,02/02/2025 08:44,21,98
86,02/02/2025 08:49,21,98
87,02/02/2025 08:54,21,98
88,02/02/2025 08:59,21.8,98
89,02/02/2025 09:04,21.8,98
90,02/02/2025 09:10,22.2,97
91,02/02/2025 09:15,21.8,97
92,02/02/2025 09:20,21.8,98
93,02/02/2025 09:25,22.2,97
94,02/02/2025 09:30,22.2,96
95,02/02/2025 09:35,22.2,96
96,02/02/2025 09:40,22.6,95
97,02/02/2025 09:45,22.6,94
98,02/02/2025 09:50,22.2,95
99,02/02/2025 09:55,22.6,95
100,02/02/2025 10:00,22.2,95
101,02/02/2025 10:05,22.5,96
102,02/02/2025 10:10,23,94
103,02/02/2025 10:15,23.4,93
104,02/02/2025 10:20,23.4,91
105,02/02/2025 10:25,23,92
106,02/02/2025 10:30,23,92
107,02/02/2025 10:35,23,91
108,02/02/2025 10:40,23,92
109,02/02/2025 10:45,22.7,93
110,02/02/2025 10:50,23,91
111,02/02/2025 10:55,23,92
112,02/02/2025 11:00,23,92
113,02/02/2025 11:05,23.4,90
114,02/02/2025 11:10,23.4,90
115,02/02/2025 11:15,23,88
116,02/02/2025 11:20,23,90
117,02/02/2025 11:25,23,89
118,02/02/2025 11:30,23,89
119,02/02/2025 11:35,23,89
120,02/02/2025 11:40,23,89
121,02/02/2025 11:45,23,92
122,02/02/2025 11:50,22.2,93
123,02/02/2025 11:55,22.2,93
124,02/02/2025 12:00,22.2,94
125,02/02/2025 12:05,22.2,94
126,02/02/2025 12:10,22.6,94
127,02/02/2025 12:15,23,94
128,02/02/2025 12:20,22.6,96
129,02/02/2025 12:25,23,95
130,02/02/2025 12:30,23,94
131,02/02/2025 12:35,23,94
132,02/02/2025 12:40,23.4,94
133,02/02/2025 12:45,23.4,93
134,02/02/2025 12:50,23,94
135,02/02/2025 12:55,23,95
136,02/02/2025 13:00,23,96
137,02/02/2025 13:05,22.6,96
138,02/02/2025 13:10,22.6,96
139,02/02/2025 13:15,22.2,97
140,02/02/2025 13:20,22.2,97
141,02/02/2025 13:25,22.2,97
142,02/02/2025 13:30,22.6,97
143,02/02/2025 13:35,22.7,96
